fid,REGION,DEPARTEMEN,COM_ARRT_V,COMMUNE,ARRONDISSE,_count,_sum,class1_percentage,class6_percentage,class8_percentage,class7_percentage,class9_percentage,class2_percentage,class3_percentage,class4_percentage,class5_percentage
420,DAKAR,DAKAR,VILLE DE DAKAR,PATTE D'OIE,PARCELLES ASSAINIES,3692,0,0,0.006,0.002,0.733,0.008,0.001,0.063,0.027,0.158
421,DAKAR,PIKINE,VILLE DE PIKINE,DALIFORT,PIKINE DAGOUDANE,3513,1,0,0.001,0.007,0.939,0,0,0,0.005,0.048
422,DAKAR,PIKINE,VILLE DE PIKINE,DJIDAH THIAROYE KAO,PIKINE DAGOUDANE,2672,0,0,0,0.001,0.967,0,0,0.002,0.003,0.026
423,DAKAR,PIKINE,VILLE DE PIKINE,GUINAW RAIL NORD,PIKINE DAGOUDANE,744,0,0,0,0.003,0.989,0,0,0,0,0.008
424,DAKAR,PIKINE,VILLE DE PIKINE,GUINAW RAIL SUD,PIKINE DAGOUDANE,1489,0,0,0,0.005,0.947,0.001,0,0,0,0.045
425,DAKAR,PIKINE,VILLE DE PIKINE,PIKINE EST,PIKINE DAGOUDANE,891,0,0,0,0,0.996,0,0,0,0,0.004
426,DAKAR,PIKINE,VILLE DE PIKINE,PIKINE NORD,PIKINE DAGOUDANE,1395,0,0,0,0.004,0.945,0,0.006,0.001,0.003,0.04
427,DAKAR,PIKINE,VILLE DE PIKINE,PIKINE OUEST,PIKINE DAGOUDANE,2302,0,0,0,0.001,0.948,0,0,0.011,0.003,0.037
428,SAINT LOUIS,SAINT LOUIS,RAO,MPAL,RAO,12668,2101,0.166,0,0,0.123,0,0,0.002,0.023,0.687
429,SAINT LOUIS,SAINT LOUIS,RAO,FASS NGOM,RAO,341815,53718,0.157,0.004,0,0.007,0,0.001,0.002,0.013,0.816
430,SAINT LOUIS,SAINT LOUIS,RAO,GANDON,RAO,500079,44726,0.089,0.105,0.023,0.021,0.028,0.006,0.009,0.063,0.648
431,SAINT LOUIS,SAINT LOUIS,RAO,NDIEBENE GANDIOLE,RAO,180142,12414,0.069,0.106,0.036,0.034,0.141,0.018,0.01,0.164,0.417
432,SAINT LOUIS,DAGANA,RICHARD TOLL,RICHARD TOLL,,28304,61,0.002,0.129,0,0.218,0.088,0.065,0.131,0.11,0.254
433,DAKAR,RUFISQUE,VILLE DE RUFISQUE,RUFISQUE EST,RUFISQUE EST,8864,106,0.012,0.001,0.012,0.608,0.001,0,0.032,0.201,0.132
434,DAKAR,RUFISQUE,VILLE DE RUFISQUE,RUFISQUE NORD,RUFISQUE EST,8173,33,0.004,0,0.003,0.882,0,0,0,0.027,0.083
435,DAKAR,RUFISQUE,VILLE DE RUFISQUE,RUFISQUE OUEST,RUFISQUE EST,9163,4,0,0.002,0.006,0.875,0,0,0.003,0.023,0.09
436,KEDOUGOU,SARAYA,SABODALA,KHOSSANTO,SABODALA,884674,50,0,0.001,0,0.001,0.001,0,0.418,0.575,0.003
